Datum,Uhrzeit,Vorbehandlungszone,Reinigerkonzentration,Temperatur,Leitwert,pHWert,Pumpendruck,Bakterienbelastungsgrad
2024-07-09,7:00:01,Entfetten,0.6,46.7,1034.0,7.9,1.0,10
2024-07-09,7:00:01,Spülen 1,0.0,44.8,42.0,7.6,1.0,10
2024-07-09,7:00:01,Spülen 2,0.0,42.5,155.0,7.3,1.0,10
2024-07-09,7:00:01,Spülen 3,0.0,42.0,23.0,6.8,1.0,10
2024-07-09,7:00:01,VE-Sprühkranz,0.0,0.0,6.0,0.0,320.0,10
2024-07-10,8:00:50,Entfetten,0.6,47.8,1112.0,8.0,1.1,10
2024-07-10,8:00:50,Spülen 1,0.0,44.8,247.0,7.5,1.0,10
2024-07-10,8:00:50,Spülen 2,0.0,40.9,92.5,7.1,1.0,10
2024-07-10,8:00:50,Spülen 3,0.0,36.0,14.6,6.9,0.9,10
2024-07-10,7:00:01,VE-Sprühkranz,0.0,0.0,5.0,0.0,325.0,10
2024-07-11,7:00:00,Entfetten,0.6,46.8,975.0,7.9,1.1,10
2024-07-11,7:00:00,Spülen 1,0.0,45.4,315.0,7.6,1.1,10
2024-07-11,7:00:00,Spülen 2,0.0,43.2,130.0,7.3,1.1,10
2024-07-11,7:00:00,Spülen 3,0.0,41.7,20.1,6.6,1.0,10
2024-07-11,7:00:01,VE-Sprühkranz,0.0,0.0,5.0,0.0,318.0,10
2024-07-15,8:00:00,Entfetten,0.6,45.7,1106.0,8.0,1.0,10
2024-07-15,8:00:00,Spülen 1,0.0,47.6,272.0,7.4,1.0,10
2024-07-15,8:00:00,Spülen 2,0.0,37.5,99.9,7.0,1.0,10
2024-07-15,8:00:00,Spülen 3,0.0,33.9,13.0,6.9,1.1,10
2024-07-15,7:00:01,VE-Sprühkranz,0.0,0.0,6.0,0.0,320.0,10
2024-07-16,8:00:00,Entfetten,0.6,46.4,986.0,8.0,1.1,10
2024-07-16,8:00:00,Spülen 1,0.0,45.0,313.0,7.8,1.0,10
2024-07-16,8:00:00,Spülen 2,0.0,43.0,120.0,7.4,1.1,10
2024-07-16,8:00:00,Spülen 3,0.0,41.8,17.3,6.8,1.0,10
2024-07-16,7:00:01,VE-Sprühkranz,0.0,0.0,7.0,0.0,323.0,10
2024-07-17,8:00:00,Entfetten,0.6,46.3,1164.0,8.0,0.9,10
2024-07-17,8:00:00,Spülen 1,0.0,44.8,296.0,7.9,0.9,10
2024-07-17,8:00:00,Spülen 2,0.0,41.6,102.0,7.5,1.0,10
2024-07-17,8:00:00,Spülen 3,0.0,40.4,24.6,6.9,1.0,10
2024-07-17,7:00:01,VE-Sprühkranz,0.0,0.0,6.0,0.0,320.0,10
2024-07-18,8:00:00,Entfetten,0.6,47.5,1146.0,8.0,1.0,10
2024-07-18,8:00:00,Spülen 1,0.0,44.8,355.0,7.7,1.0,10
2024-07-18,8:00:00,Spülen 2,0.0,43.1,154.0,7.4,1.1,10
2024-07-18,8:00:00,Spülen 3,0.0,39.7,41.2,6.9,1.0,10
2024-07-18,7:00:01,VE-Sprühkranz,0.0,0.0,5.0,0.0,324.0,10
2024-07-22,13:45:00,Entfetten,0.6,48.3,462.0,7.8,1.1,10
2024-07-22,13:45:00,Spülen 1,0.0,48.3,170.0,7.5,1.0,10
2024-07-22,13:45:00,Spülen 2,0.0,46.2,130.0,7.2,1.1,10
2024-07-22,13:45:00,Spülen 3,0.0,44.5,23.0,6.8,1.0,10
2024-07-22,7:00:01,VE-Sprühkranz,0.0,0.0,6.2,0.0,310.0,10
2024-07-23,7:00:00,Entfetten,0.6,47.0,662.0,7.3,1.0,10
2024-07-23,7:00:00,Spülen 1,0.0,41.0,210.0,6.9,1.0,10
2024-07-23,7:00:00,Spülen 2,0.0,36.6,38.9,6.3,1.1,10
